"name","lon","lat","age_max","age_min"
"Absarokius_abbotti",-81.5,47.5,55.8,50.3
"Acidomomys_hebeticus",-78.79,52.74,56.8,55.8
"Acrecebus_fraileyi",-67.12,-10.56,11.608,5.333
"Adapis_parisiensis",6.53,38.61,38,33.9
"Aegyptopithecus_zeuxis",31.91,20.56,33.9,28.1
"Afradapis_longicristatus",32.09,19.27,38,33.9
"Aframonius_dieides",31.83,20.62,33.9,28.1
"Afrasia_djijidae",97.97,9.6,41.3,38
"Afropithecus_turkanensis",35.22,-1.97,20.44,15.97
"Afrotarsius_chatrathi",31.91,20.56,33.9,28.1
"Afrotarsius_libycus",20.45,14.98,48.6,33.9
"Agerinia_marandati",7.84,33.12,56,47.8
"Agerinia_roselli",7.95,33.11,55.8,48.6
"Agerinia_smithorum",7.95,33.11,56,47.8
"Algeripithecus_minutus",1.38,20.53,56,41.3
"Alophia_metios",35.35,-3.39,23.03,15.97
"Altanius_orlovi",101.35,42.88,55.8,48.6
"Altiatlasius_koulchii",1.06,20.61,59.2,56
"Anapithecus_hernyaki",22.13,45.73,11.1,9.7
"Anaptomorphus_aemulus",-87.37,48.83,50.3,46.2
"Anaptomorphus_westi",-85.53,49.05,50.3,46.2
"Anasazia_williamsoni",-76.69,46.56,63.3,61.7
"Anchomomys_(Fendantia)_pygmaeus",12.54,40.4,41.3,38
"Anchomomys_(Huerzeleris)_quercyi",6.9,37.51,41.3,38
"Anchomomys_frontanyensis",7.39,35.91,41.3,38
"Anchomomys_gaillardi",9.66,35.25,56,41.3
"Anchomomys_milleri",31.83,20.62,33.9,28.1
"Anemorhysis_natronensis",-83.12,50.2,50.3,46.2
"Anemorhysis_pattersoni",-79.86,52.19,55.8,50.3
"Anemorhysis_savagei",-84.69,49.79,56,33.9
"Anemorhysis_sublettensis",-83.02,50.9,55.8,50.3
"Anemorhysis_wortmani",-80.09,51.71,55.8,50.3
"Ankarapithecus_meteai",31.9353,40.6624,10.3,9
"Anthradapis_vietnamensis",105.8155,21.6567,38,36
"Antillothrix_bernensis",-68.37,18.47,2.588,0.0117
"Aotus_dindensis",-71.48,4.1,13.8,11.8
"Apidium_bowni",31.91,20.56,33.9,28.1
"Apidium_moustafai",31.91,20.56,33.9,28.1
"Apidium_phiomense",31.91,20.56,33.9,28.1
"Apidium_zuetina",19.53,20.49,33.9,28.4
"Arapahovius_advena",-80.09,51.71,55.8,50.3
"Arapahovius_gazini",-82.23,49.71,55.8,50.3
"Archaeoindris_fontoynontii",46.8964,-18.4679,0.002149,0.002149
"Archaeolemur_edwardsi",46.63,-25.2,0.0117,0
"Archaeolemur_majori",46.63,-25.2,0.0117,0
"Archicebus_achilles",110.59,28.3,55.8,48.6
"Arcius_fuscus",11.82,34.58,55.8,48.6
"Arcius_hookeri",7.69,42.64,56,47.8
"Arcius_ilerdensis",7.84,33.12,56,47.8
"Arcius_lapparenti",8.93,34.2,55.8,48.6
"Arcius_rougieri",8.92,34.19,55.8,48.6
"Arcius_zbyszewskii",-0.89,31.93,55.8,48.6
"Ardipithecus_ramidus",35.73,-0.51,5.333,2.588
"Arsinoea_kallimos",31.83,20.62,33.9,28.1
"Aseanpithecus_myanmarensis",97.99,9.62,41.3,38
"Asiadapis_cambayensis",61.6604,-8.6195,56,47.8
"Australopithecus_afarensis",19.01,15.19,3.6,2.588
"Australopithecus_africanus",36.07,4.17,5.333,2.588
"Australopithecus_anamensis",35.96,1.14,5.333,3.6
"Australopithecus_deyiremeda",40.37,10.27,5.333,2.588
"Australopithecus_garhi",40.41,9.06,5.333,2.588
"Australopithecus_sediba",27.62,-26.71,3.6,2.588
"Avenius_amatorum",10.73,40.08,56,47.8
"Aycrossia_lovei",-84.44,50.94,50.3,46.2
"Azibius_trerki",1.38,20.53,56,41.3
"Babakotia_radofilai",44.48,-17.9,0.0117,0
"Bahinia_banyueae",105.16,22.06,33.9,28.4
"Bahinia_pondaungensis",98.02,9.64,41.3,38
"Berruvius_lasseroni",11.53,39.21,59.2,56
"Biretia_fayumensis",32.09,19.27,38,33.9
"Biretia_megalopsis",32.09,19.27,38,33.9
"Biretia_piveteaui",20.45,14.98,48.6,33.9
"Branisella_boliviana",-60.7,-16.39,29,21
"Brontomomys_cerutti",-102.7514,33.7971,46,44
"Bugtilemur_mathesoni",70.94,14.08,33.9,28.4
"Bugtipithecus_inexpectans",70.94,14.08,33.9,28.4
"Caenopithecus_lemuroides",13,41,47.8,41.3
"Canaanimico_amazonensis",-67.55,-6.8,28.4,23.03
"Cantius_UM_81825",-91.6686,48.4037,56,50
"Cantius_abditus",-81.71,47.85,55.8,50.3
"Cantius_eppsi",7.69,42.64,56,47.8
"Cantius_frugivorus",-81.71,47.85,55.8,50.3
"Cantius_mckennai",-81.71,47.85,55.8,50.3
"Cantius_nunienus",-83.02,50.9,55.8,50.3
"Cantius_ralstoni",-81.69,48.47,55.8,50.3
"Cantius_torresi",-81.07,52.21,55.8,50.3
"Cantius_trigonodus",-81.21,52.11,55.8,48.6
"Carlocebus_carmenensis",-67.78,-46.29,20.44,15.97
"Carlocebus_intermedius",-67.78,-46.29,20.44,15.97
"Carpocristes_oriens",115.45,36.4,55.8,48.6
"Carpodaptes_aulacodon",-78.5,46.09,61.7,56.8
"Carpodaptes_cygneus",-76.38,61.93,61.7,56.8
"Carpodaptes_hazelae",-76.38,61.93,61.7,56.8
"Carpodaptes_hobackensis",-78.57,51.99,61.7,56.8
"Carpodaptes_jepseni",-77.04,53.09,58.7,55.8
"Carpodaptes_rosei",-76.17,52,61.7,56.8
"Carpodaptes_stonleyi",-76.43,61.72,61.7,56.8
"Carpolestes_dubius",-76.04,53.77,61.7,56.8
"Carpolestes_nigridens",-79.47,50.38,56.8,55.8
"Carpolestes_simpsoni",-78.5,53.19,56.8,55.8
"Catopithecus_browni",31.83,20.62,33.9,28.1
"Cebupithecia_sarmientoi",-71.59,4.05,13.8,11.8
"Chalicomomys_antelucanus",-80.09,51.71,55.8,50.3
"Chilecebus_carrascoensis",-66.17,-33.57,21,17.5
"Chiromyoides_caesor",-78.5,46.09,61.7,56.8
"Chiromyoides_campanicus",11.49,39.21,59.2,56
"Chiromyoides_major",-78.79,52.74,56.8,55.8
"Chiromyoides_mauberti",10.23,39.54,58.7,55.8
"Chiromyoides_minor",-79.72,51.28,61.7,56.8
"Chiromyoides_potior",-78.32,46.14,61.7,56.8
"Chronolestes_simul",115.45,36.4,55.8,48.6
"Chumashius_balchi",-100.3,38.92,40.4,37.2
"Copelemur_australotutus",-84.08,50.15,55.8,50.3
"Copelemur_praetutus",-81.5,47.5,55.8,50.3
"Copelemur_tutus",-82.05,44.29,55.8,50.3
"Crouzelia_auscitanensis",11.5523,48.2995,13.65,12.75
"Crouzelia_rhodanica",11.6433,48.3141,12.75,11.1
"Darwinius_masillae",14.18,42.07,48.6,40.4
"Daubentonia_robusta",44.7883,-25.1991,0.001,0.001
"Dendropithecus_macinnesi",32.8752,-1.512,20,17
"Dermotherium_chimaera",105.04,8.67,28.4,23.03
"Dermotherium_major",106.91,3.35,37.2,33.9
"Diablomomys_dalquesti",-86.48,36.39,46.2,40.4
"Dinopithecus_ingens",27.61,-26.58,2.588,0.781
"Dionysopithecus_shuangouensis",115.82,32.32,20.44,15.97
"Djebelemur_martinezi",13.75,23.49,56,41.3
"Dolichocebus_annectens",-71.9,4.11,13.8,10
"Dolichocebus_gaimanensis",-62.19,-42.83,21,17.5
"Donrussellia_gallica",-2.3023,44.1281,55.8,48.6
"Donrussellia_provincialis",11.82,34.58,55.8,48.6
"Dryomomys_dulcifer",-79.47,50.38,56.8,55.8
"Dryomomys_millennius",-76.45,53.23,61.7,56.8
"Dryomomys_szalayi",-88.5995,50.2218,58.7,55.8
"Dryomomys_willwoodensis",-80.94,52.71,55.8,50.3
"Dryopithecus_fontani",-0.426,43.2688,12.75,11.1
"Dyseolemur_pacificus",-97.31,38.28,46.2,37.2
"Edworthia_lerbekmoi",-74.72,61.99,63.3,61.7
"Egarapithecus_narcisoi",3.32,39.89,11.608,8.7
"Ekembo_heseloni",33.58,-5.64,20.44,15.97
"Ekembo_nyanzae",34.98,-4.06,13.82,11.62
"Ekgmowechashala_philotau",-89.74,46.85,30.8,26.3
"Ekwiiyemakius_walshi",-102.75,33.7971,46,44
"Ellesmene_eureka",-5.54,74.78,55.8,50.3
"Elphidotarsius_florencae",-67.48,54.81,63.3,61.7
"Elphidotarsius_russelli",-78.13,60.96,61.7,56.8
"Elphidotarsius_shotgunensis",-77.42,52.51,61.7,56.8
"Elphidotarsius_wightoni",-76.2,61.35,61.7,56.8
"Elpidophorus_elegans",-76.38,61.93,61.7,56.8
"Elpidophorus_minor",-74.71,61.93,63.3,61.7
"Eosimias_centennicus",109.08,33.74,48.6,37.2
"Eosimias_sinensis",117.25,31.2,48.6,37.2
"Equatorius_africanus",34.19,-4.25,15.97,13.82
"Europolemur_klatti",12.55,42.3,48.6,40.4
"Foxomomys_fremdi",-76.38,61.88,61.7,56.8
"Foxomomys_gunnelli",-76.01,53.78,61.7,56.8
"Foxomomys_vossae",-66.51,56.07,61.7,56.8
"Ganlea_megacanina",98.05,9.65,41.3,38
"Gatanthropus_micros",105.16,22.06,33.9,28.4
"Gigantopithecus_blacki",106.37,21.95,0.781,0.126
"Gorgopithecus_major",27.2471,-26.2131,5.333,0.0117
"Griphopithecus_alpani",27.23,40.3505,14.1,13.4
"Guangxilemur_singsilai",70.94,14.08,33.9,28.4
"Guangxilemur_tongi",108.1,21.25,37.2,33.9
"Gunnelltarsius_randalli",-102.7514,33.7971,46,44
"Hadropithecus_stenognathus",46.63,-25.2,0.0117,0
"Hemiacodon_gracilis",-87.37,48.83,50.3,46.2
"HispanopithecusHispanopithecus_crusafonti",0.5613,42.5957,10.4,10
"Hispanopithecus_(Hispanopithecus)_hungaricus",22.13,45.73,11.1,9.7
"Hispanopithecus_(Hispanopithecus)_laietanus",3.38,39.85,11.608,8.7
"Hispanopithecus_sp_CL1_dash_18000",1.0171,41.7293,12,9
"Hoanghonius_stehlini",109.08,33.74,48.6,37.2
"Homo_antecessor",-3.36,42.2,2.588,0.0117
"Homo_erectus",35.77,3.96,1.806,0.781
"Homo_floresiensis",120.44,-8.53,0.126,0.0117
"Homo_georgicus",44.22,40.91,2.588,0.781
"Homo_habilis",36.32,3.48,2.588,0.781
"Homo_heidelbergensis",8.82,49.33,0.781,0.126
"Homo_naledi",27.71194,-26.02028,0.276,0.179
"Homo_neanderthalensis",0.15,45.65,0.126,0.0117
"Homo_rhodesiensis",28.43333,-14.45,0.324,0.274
"Homo_rudolfensis",34.12,-11.21,5.333,0.0117
"Homo_sapiens",31.97,-27.12,0.126,0.0117
"Homunculus_patagonicus",-67.27,-50.92,17.5,16.3
"Ignacius_clarkforkensis",-78.79,52.74,56.8,55.8
"Ignacius_fremontensis",-74.71,61.93,63.3,61.7
"Ignacius_frugivorus",-67.1,53.64,61.7,56.8
"Ignacius_graybullianus",-80.09,51.71,55.8,50.3
"Indraloris_himalayensis",73.71,28.54,11.608,5.333
"Indraloris_kamlialensis",74.2922,27.6634,15.2,15.2
"Indraloris_sp_YGSP_32152",73.4364,27.0227,17,15
"Insulacebus_toussaintiana",-74.1,18.3,0.0117,0.001443
"Jemezius_szalayi",-82.33,43.51,55.8,50.3
"Kalepithecus_songhorensis",34.7,-5.35,20.44,15.97
"Kamoyapithecus_hamiltoni",35,-4.29,28.4,23.03
"Kapi_ramnagarensis",76.3432,27.6692,13.8,12.5
"Karanisia_clarki",32.09,19.27,38,33.9
"Kenyanthropus_platyops",35.4082,3.7152,3.97,3.42
"Kenyapithecus_wickeri",33.7123,-1.058,13.82,11.62
"Komba_robustus",31.7827,-1.8956,22.4,20
"Krabia_minuta",106.06,3.07,37.2,33.9
"Kyitchaungia_takaii",97.99,9.62,41.3,38
"Laccopithecus_robustus",101.5,23.6,11.62,7.246
"Lagonimico_conclucatus",-70.96,4.43,13.8,11.8
"Laomaki_yunnanensis",105.16,22.06,33.9,28.4
"Leptadapis_(Paradapis)_priscus",5.92,36,41.3,38
"Leptadapis_magnus",6.22,38.31,38,33.9
"Leptadapis_ruetimeyeri",3.8417,45.1356,41.3,33.9
"Limnopithecus_evansi",34.7,-5.35,20.44,15.97
"Limnopithecus_legetet",34.19,-4.25,15.97,13.82
"Lomorupithecus_harrisoni",33.71,-3.22,20.44,15.97
"Loveina_minuta",-82.23,49.71,55.8,50.3
"Loveina_sheai",-83.02,50.9,55.8,50.3
"Loveina_wapitiensis",-81.07,52.21,55.8,50.3
"Loveina_zephyri",-79.98,49.39,55.8,50.3
"Lufengpithecus_lufengensis",101.5,23.6,11.62,7.246
"Macrotarsius_jepseni",-82.01,33.29,46.2,40.4
"Macrotarsius_montanus",-86.94,56.36,40.4,37.2
"Macrotarsius_siegerti",-85.96,49.88,46.2,40.4
"Mahgarita_stevensi",-87.58,35.26,40.4,37.2
"Marcgodinotius_indicus",70.66,-6.77,56,47.8
"Masradapis_tahai",32.09,19.27,38,33.9
"Mazateronodon_endemicus",3.57,35.43,41.3,38
"Mazzonicebus_almendrae",-65.57,-45.09,21,17.5
"Megadelphus_lundeliusi",-83.12,50.2,50.3,46.2
"Megaladapis_edwardsi",46.63,-25.2,0.0117,0
"Megaladapis_grandidieri",46.8964,-18.4679,0.001,0.001
"Megaladapis_madagascariensis",46.63,-25.2,0.0117,0
"Melaneremia_bryanti",7.69,42.64,56,47.8
"Melaneremia_schrevei",7.49,42.59,56,47.8
"Mescalerolemur_horneri",-86.48,36.39,46.2,40.4
"Mesopithecus_pentelicus",69.05,33.05,8.7,5.333
"Mesopropithecus_dolichobrachion",49.07,-12.93,0.0117,0
"Mesopropithecus_pithecoides",46.8964,-18.4679,0.0014,0.0014
"Microadapis_sciureus",12.54,40.4,41.3,38
"Microchoerus_erinaceus",8.57,38,38,33.9
"Microcolobus_sp_KNM_NA_305",34.9117,0.6271,11,9
"Microcolobus_tugenensis",35.49,-2.93,13.82,11.62
"Micromomys_silvercouleei",-76.03,53.78,61.7,56.8
"Micropithecus_clarki",33.71,-3.22,20.44,15.97
