"name","lon","lat","age_max","age_min"
"Micropithecus_leakeyorum",33.0276,-1.0063,13.82,11.62
"Microsyops_annectens",-85.58,35.54,46.2,40.4
"Microsyops_knightensis",-79.51,45.15,55.8,50.3
"Microsyops_latidens",-81.71,47.85,55.8,50.3
"Mohanamico_hershkovitzi",-71.58,4.07,13.8,11.8
"Morotopithecus_bishopi",34.13,-3.65,22.4,20
"Muangthanhinius_siami",106.06,3.07,37.2,33.9
"Myanmarpithecus_yarshensis",97.99,9.6,41.3,38
"Nannodectes_gazini",-76.63,51.13,61.7,56.8
"Nannodectes_gidleyi",-77.86,50.78,61.7,56.8
"Nannodectes_intermedius",-78.13,60.96,61.7,56.8
"Nannodectes_simpsoni",-75.36,60.74,61.7,56.8
"Nannopithex_filholi",9.09,42.46,41.3,38
"Nannopithex_sp_Halle_4254",8.3679,47.4057,49,40
"Nannopithex_zuccolae",5.97,43.28,55.8,37.2
"Nanopithecus_browni",35.98,1.19,5.333,3.6
"Navajovius_kohlhaasae",-78.5,46.09,61.7,56.8
"Necrolemur_antiquus",6.22,38.31,38,33.9
"Necrolemur_zitteli",12.54,40.4,41.3,38
"Neosaimiri_fieldsi",-71.59,4.05,13.8,11.8
"Nievesia_sossisensis",5.94,36.91,38,33.9
"Niptomomys_doreenae",-81.69,48.47,55.8,50.3
"Noropithecus_bulukensis",36.17,-1.21,23.03,15.97
"Nosmips_aenigmaticus",32.09,19.27,38,33.9
"Notharctus_robinsoni",-85.53,49.05,50.3,46.2
"Notharctus_robustior",-87.37,48.83,50.3,46.2
"Notharctus_tenebrosus",-87.37,48.83,50.3,46.2
"Notharctus_venticolus",-82.23,49.71,55.8,50.3
"Nsungwepithecus_gunnelli",32.97,-16.43,28.4,23.03
"Nuciruptor_rubricae",-71.53,4.1,13.8,11.8
"Nyanzapithecus_alesi",35.5,-0.88,13.82,11.62
"Nyanzapithecus_harrisoni",36.55,-2.22,15.97,11.608
"Nyanzapithecus_pickfordi",34.19,-4.25,15.97,13.82
"Nyanzapithecus_vancouveringorum",32.9672,-1.297,18.5,17
"Nycticeboides_simpsoni",82.67,19.53,23.03,5.333
"Oligopithecus_rogeri",51.32,4.4,33.9,28.4
"Oligopithecus_savagei",31.91,20.56,33.9,28.1
"Oligotarsius_rarus",105.16,22.06,33.9,28.4
"Omomys_carteri",-85.53,49.05,50.3,46.2
"Omomys_lloydi",-87.05,47.75,50.3,46.2
"Oreopithecus_bambolii",12.5,41.11,8.7,5.333
"Otavipithecus_namibiensis",17.4,-23.12,15.97,11.608
"Ouranopithecus_macedoniensis",23.86,38.06,11.608,8.7
"Ourayia_uintensis",-85.58,35.54,46.2,40.4
"Pachylemur_insignis",46.63,-25.2,0.0117,0
"Pachylemur_jullyi",46.8964,-18.4679,0.0117,0.0117
"Palaechthon_alticuspis",-74.88,50.54,63.3,56.8
"Palaechthon_torrejonius",-76.78,46.9,63.3,61.7
"Palaechthon_woodi",-76.78,46.9,63.3,61.7
"Palaeopropithecus_ingens",43.961,-23.0458,0.001,0.001
"Palaeopropithecus_maximus",46.8964,-18.4679,0.00216,0.00216
"Palenochtha_minor",-74.08,51.29,63.3,61.7
"Palenochtha_weissae",-74.08,51.29,63.3,61.7
"Panamacebus_transitus",-73.96,10.5,30.8,20.43
"Pandemonium_dis",-66.46,57.47,66,63.3
"Panobius_russelli",70.72,2.72,56,47.8
"Papio_izodi",27.57,-26.86,5.333,0.781
"Papio_quadratirostris",35.8754,5.1499,3,3
"Papio_robinsoni",27.67,-26.3,2.588,0.0117
"Paralouatta_varonai",-83.47,22.91,2.588,0
"Paranthropus_aethiopicus",35.5154,3.7653,2.7,2.33
"Paranthropus_boisei",37.42,4.65,2.588,0.781
"Paranthropus_robustus",27.61,-26.58,2.588,0.781
"Parapapio_ado",35.15,-4.12,3.6,2.588
"Parapapio_angusticeps",27.67,-26.7,5.333,0.0117
"Parapapio_broomi",28.81,-25.05,3.6,2.588
"Parapapio_jonesi",40.47,10.24,3.6,2.588
"Parapapio_lothagamensis",40.07,8.05,11.62,3.6
"Parapapio_whitei",28.81,-25.05,3.6,2.588
"Parapithecidae_DPC_2804",31.91,20.56,33.9,28.1
"Parapithecus_fraasi",31.91,20.56,33.9,28.1
"Paromomys_depressidens",-79.23,50.21,63.3,61.7
"Paromomys_farrandi",-83.3971,53.5456,63.3,61.7
"Paromomys_maturus",-67.09,55.86,63.3,61.7
"Parvimico_materdei",-67.05,-12.13,17.5,16.3
"Patasola_magdalenae",-71.53,4.09,13.8,11.8
"Paukkaungia_parva",97.97,9.6,41.3,38
"Pelycodus_jarrovii",-81.5,47.5,55.8,50.3
"Periconodon_huerzeleri",13,41,47.8,41.3
"Perupithecus_ucayaliensis",-65.2257,-11.8482,37.2,33.9
"Phenacolemur_archus",-77.05,53.11,58.7,55.8
"Phenacolemur_praecox",-78.54,51.42,55.8,50.3
"Phenacolemur_simonsi",-80.09,51.71,55.8,50.3
"Phenacopithecus_xueshii",109.08,33.78,48.6,37.2
"Phileosimias_brahuiorum",70.94,14.08,33.9,28.4
"Phileosimias_kamali",70.94,14.08,33.9,28.4
"Picromomys_petersonorum",-79.86,52.19,55.8,50.3
"Pierolapithecus_catalaunicus",3.19,39.38,12.75,11.1
"Plagiomene_multicuspis",-79.86,52.19,55.8,50.3
"Planetetherium_mirabile",-78.31,53.6,56.8,55.8
"Platychoerops_antiquus",11.53,39.21,59.2,56
"Platychoerops_boyeri",10.23,39.54,58.7,55.8
"Platychoerops_daubrei",10.77,40.28,56,47.8
"Platychoerops_richardsoni",8.47,42.51,56,47.8
"Platychoerops_russelli",7.49,42.59,56,47.8
"Plesiadapis_anceps",-78.13,60.96,61.7,56.8
"Plesiadapis_churchilli",-76.32,61.74,61.7,56.8
"Plesiadapis_cookei",-81.76,50.15,56.8,55.8
"Plesiadapis_dubius",-77.36,53.22,58.7,55.8
"Plesiadapis_fodinatus",-78.57,51.99,61.7,56.8
"Plesiadapis_gingerichi",-78.79,52.74,56.8,55.8
"Plesiadapis_insignis",10.2,36.11,59.2,56
"Plesiadapis_ploegi",10.23,39.54,58.7,55.8
"Plesiadapis_praecursor",-78.13,60.96,61.7,56.8
"Plesiadapis_remensis",11.49,39.21,59.2,56
"Plesiadapis_rex",-78.57,51.99,61.7,56.8
"Plesiadapis_russelli",9.2,39.92,56,47.8
"Plesiadapis_simonsi",-75.51,53.44,61.7,56.8
"Plesiadapis_tricuspidens",11.49,39.21,59.2,56
"Plesiadapis_walbeckensis",17.65,41.48,61.6,59.2
"Plesiolestes_nacimienti",-76.78,46.9,63.3,61.7
"Plesiolestes_problematicus",-74.08,51.29,63.3,61.7
"Plesiopithecus_teras",31.83,20.62,33.9,28.1
"Plesiopliopithecus_lockeri",14.54,45.37,15.97,11.608
"Pliobates_cataloniae",0.7675,41.7239,11.628,11.628
"Pliopapio_alemui",40.137,10.243,5.2,4.2
"Pliopithecus_antiquus",2.63,41.16,15.97,11.62
"Pliopithecus_vindobonensis",19.13,44.84,13.65,12.75
"Pondaungia_cotteri",97.8,9.72,41.3,38
"Premnoides_douglassi",-73.72,54.42,63.3,61.7
"Procercocebus_antiquus",24.2841,-27.7346,5.332,0.0117
"Proconsul_africanus",33.63,-5.7,20.44,15.97
"Proconsul_major",34.75,-5.49,20.44,15.97
"Prodendrogale_engesseri",101.29,24.44,11.1,4.9
"Prohylobates_tandyi",29.69,25.85,16.9,15.97
"Pronothodectes_gaoi",-76.38,61.93,61.7,56.8
"Pronothodectes_jepi",-75.29,52,63.3,61.7
"Pronothodectes_matthewi",-67.48,54.81,63.3,61.7
"Pronycticebus_gaudryi",7.93,36.06,55.8,40.4
"Pronycticebus_neglectus",8.3673,47.4042,48.6,40.4
"Propliopithecidae_SPECIMEN_NUMBER_Taqah",31.91,20.56,33.9,28.1
"Propliopithecus_ankeli",31.91,20.56,33.9,28.1
"Propliopithecus_chirobates",31.91,20.56,33.9,28.1
"Propliopithecus_haeckeli",31.91,20.56,33.9,28.1
"Propotto_leakeyi",32.8321,-1.3789,20,18
"Proteopithecus_sylviae",31.83,20.62,33.9,28.1
"Proteropithecia_neuquenensis",-67.65,-39.73,15.5,13.8
"Protoadapis_curvicuspidens",4.3724,44.8589,48.6,37.2
"Pseudoloris_parvulus",6.22,38.31,38,33.9
"Ptilocercus_kylin",105.16,22.06,33.9,28.4
"Purgatorius_coracis",-68.59,59.89,66,63.3
"Purgatorius_janisae",-67.64,57.54,66,63.3
"Purgatorius_titusi",-72.05,57.09,66,63.3
"Purgatorius_unio",-66.46,57.47,66,63.3
"Qatrania_basiodontos",31.83,20.62,33.9,28.1
"Qatrania_wingi",31.91,20.56,33.9,28.1
"Qatraniinae_YPM_18008",31.91,20.56,33.9,28.1
"Ramadapis_sahnii",76.6,25.08,23.03,5.333
"Rangwapithecus_gordoni",32.8321,-1.3789,20,19
"Rencunius_wui",106.9775,35.8106,37.2,33.9
"Rencunius_zhoui",109.17,33.46,48.6,37.2
"Rhinopithecus_lantianensis",110.22,33.13,0.126,0.0117
"Rhinopithecus_tingianus",113.58,24.67,0.781,0.126
"Rooneyia_viejaensis",-88.5,36.09,40.4,37.2
"Rukwapithecus_fleaglei",32.97,-16.43,28.4,23.03
"Saadanius_hijazensis",38.25,11.67,33.9,23.03
"Saharagalago_misrensis",32.09,19.27,38,33.9
"Sahelanthropus_tchadensis",17.73,14.7,7.246,5.333
"Sarnacius_gingerichi",10.83,40.51,59.2,56
"Saxonella_crepaturae",17.65,41.48,61.6,59.2
"Saxonella_naylori",-75.36,60.74,61.7,56.8
"Serapia_eocaena",31.83,20.62,33.9,28.1
"Shoshonius_cooperi",-80.68,50.99,55.8,50.3
"Siamoadapis_maemohensis",100.9,15.35,15.97,11.608
"Siamopithecus_eocaenus",106.91,3.35,37.2,33.9
"Simiolus_enjiessi",35.17,-1.52,20.44,15.97
"Simiolus_minutus",34.2161,3.0331,12.56,12.3
"Simonsius_grangeri",31.91,20.56,33.9,28.1
"Simonsius_harujensis",19.53,20.49,33.9,28.4
"Simpsonlemur_citatus",-80.68,50.99,55.8,50.3
"Simpsonlemur_jepseni",-81.69,48.47,55.8,50.3
"Sinoadapis_carnosus",101.5,23.6,11.62,7.246
"Sinoadapis_shihuibaensis",101.54,23.79,11.608,5.333
"Sivaladapis_nagrii",74.7062,29.6927,9.23,8.6
"Sivaladapis_palaeindicus",74.377,28.0034,13.65,11.1
"Sivapithecus_indicus",73.25,28.81,11.608,5.333
"Sivapithecus_parvada",74.6881,29.3626,10,10
"Smilodectes_gracilis",-86.38,50.22,50.3,46.2
"Smilodectes_mcgrewi",-85.53,49.05,50.3,46.2
"Smilodectes_sororis",-85.19,49.68,50.3,46.2
"Soriacebus_adrianae",-67.76,-46.32,20.44,15.97
"Soriacebus_ameghinorum",-68.39,-46.31,17.5,16.3
"Sphacorhysis_burntforkensis",-87.37,48.83,50.3,46.2
"Steinius_vespertinus",-79.86,52.19,55.8,50.3
"Stirtonia_tatacoensis",-71.59,4.06,13.8,11.8
"Stirtonia_victoriae",-72.35,2.93,13.8,11.8
"Stockia_powayensis",-102.7514,33.7971,46.2,40.4
"Strigorhysis_bridgerensis",-80.09,51.71,55.8,50.3
"Subengius_mengi",106.66,42.76,58.7,55.8
"Tarka_stylifera",-87.18,50.06,46.2,40.4
"Tarkadectes_montanensis",-99.9507,52.0781,46.2,40.4
"Tarsius_sirindhornae",100.65,15.52,13.65,12.75
"Teilhardina_americana",-80.09,51.71,55.8,50.3
"Teilhardina_asiatica",113.23,26.04,55.8,48.6
"Teilhardina_belgica",9.6,40.44,56,47.8
"Teilhardina_brandti",-81.07,52.21,55.8,50.3
"Teilhardina_crassidens",-79.86,52.19,55.8,50.3
"Teilhardina_demissa",-79.86,52.19,55.8,50.3
"Teilhardina_magnoliana",-64.39,36.28,55.8,50.3
"Teilhardina_tenuicula",-79.86,52.19,55.8,50.3
"Tetonius_homunculus",-88.7937,49.8713,55.8,48.6
"Tetonius_matthewi",-81.69,48.47,55.8,50.3
"Tetonius_mckennai",-81.69,48.47,55.8,50.3
"Tetonoides_pearcei",-82.23,49.71,55.8,50.3
"TheropithecusOmopithecus_baringensis",35.6471,0.3558,3,2
"Theropithecus_(Omopithecus)_brumpti",35.67,3.28,2.588,1.806
"Theropithecus_darti",40.47,10.24,3.6,2.588
"Theropithecus_oswaldi",27.67,-26.3,2.588,0.0117
"Tinimomys_graybulliensis",-79.64,51.58,55.8,50.3
"Tinimomys_tribos",-79.47,50.38,56.8,55.8
"Torrejonia_wilsoni",-76.11,45.82,63.3,61.7
"Tremacebus_harringtoni",-65.14,-41.93,21,17.5
"Trogolemur_amplior",-85.53,49.05,50.3,46.2
"Trogolemur_fragilis",-83.12,50.2,50.3,46.2
"Trogolemur_myodes",-92.12,47.29,50.3,46.2
"Turkanapithecus_kalakolensis",35.22,-1.97,20.44,15.97
"Ucayalipithecus_perdita",-65.2257,-11.8482,37.2,33.9
"Uintanius_ameghini",-87.37,48.83,50.3,46.2
"Uintanius_rutherfurdi",-85.53,49.05,50.3,46.2
"Utahia_carina",-85.19,49.68,50.3,46.2
"Utahia_kayi",-87.05,47.75,50.3,46.2
"Vectipithex_quaylei",4.11,44.17,41.3,38
"Vectipithex_raabi",17.05,43.36,47.8,41.3
"Vectipithex_smithorum",3.99,44.85,37.2,33.9
"Vectipithex_ulmensis",3.99,44.85,37.2,33.9
"Victoriapithecus_macinnesi",34.19,-4.25,15.97,13.82
"Wadilemur_elegans",31.83,20.62,33.9,28.1
"Wailekia_orientale",106.91,3.35,37.2,33.9
"Walshina_esmaraldensis",-98.28,39.4,46.2,40.4
"Walshina_mcgrewi",-85.96,49.88,46.2,40.4
"Walshina_shifrae",-85.96,49.88,46.2,40.4
"Washakius_insignis",-85.53,49.05,50.3,46.2
"Washakius_woodringi",-97.1,38.09,46.2,37.2
"Worlandia_inusitata",-78.79,52.74,56.8,55.8
"Xanthorhysis_tabrumi",109.06,33.77,48.6,37.2
"Xenothrix_mcgregori",-77.215047,17.740021,0.001511,0.001443
"Yaquius_travisi",-98.28,39.4,46.2,40.4
"Yuanmoupithecus_xiaoyuan",100.46,25.2529,8.2,7.1
"Yunnanadapis_folivorus",105.16,22.06,33.9,28.4
